"type","name","age","year","timingstart","timingend","value","unit","family"
"agecomp","survey1",9,10,0,0,173824.545364421,"numbers","imultinom(size=200)"
"agecomp","survey1",10,10,0,0,88566.3556256469,"numbers","imultinom(size=200)"
"agecomp","survey1",11,10,0,0,70699.9066467079,"numbers","imultinom(size=200)"
"agecomp","survey1",12,10,0,0,299911.846081312,"numbers","imultinom(size=200)"
"agecomp","survey1",1,11,0,0,303790.607378509,"numbers","imultinom(size=200)"
"agecomp","survey1",2,11,0,0,691513.469263081,"numbers","imultinom(size=200)"
"agecomp","survey1",3,11,0,0,526081.215367958,"numbers","imultinom(size=200)"
"agecomp","survey1",4,11,0,0,594052.202474857,"numbers","imultinom(size=200)"
"agecomp","survey1",5,11,0,0,301749.587380362,"numbers","imultinom(size=200)"
"agecomp","survey1",6,11,0,0,393922.409848281,"numbers","imultinom(size=200)"
"agecomp","survey1",7,11,0,0,340032.176106651,"numbers","imultinom(size=200)"
"agecomp","survey1",8,11,0,0,87300.7707921373,"numbers","imultinom(size=200)"
"agecomp","survey1",9,11,0,0,90505.152831654,"numbers","imultinom(size=200)"
"agecomp","survey1",10,11,0,0,124644.197769427,"numbers","imultinom(size=200)"
"agecomp","survey1",11,11,0,0,63503.3242943116,"numbers","imultinom(size=200)"
"agecomp","survey1",12,11,0,0,265724.1368827,"numbers","imultinom(size=200)"
"agecomp","survey1",1,12,0,0,208333.668523402,"numbers","imultinom(size=200)"
"agecomp","survey1",2,12,0,0,649259.143194026,"numbers","imultinom(size=200)"
"agecomp","survey1",3,12,0,0,684199.28575776,"numbers","imultinom(size=200)"
"agecomp","survey1",4,12,0,0,402308.36515141,"numbers","imultinom(size=200)"
"agecomp","survey1",5,12,0,0,428422.308786292,"numbers","imultinom(size=200)"
"agecomp","survey1",6,12,0,0,214200.641749877,"numbers","imultinom(size=200)"
"agecomp","survey1",7,12,0,0,278203.86982878,"numbers","imultinom(size=200)"
"agecomp","survey1",8,12,0,0,239714.172043491,"numbers","imultinom(size=200)"
"agecomp","survey1",9,12,0,0,61504.9825539108,"numbers","imultinom(size=200)"
"agecomp","survey1",10,12,0,0,63747.4253308967,"numbers","imultinom(size=200)"
"agecomp","survey1",11,12,0,0,87785.6749899192,"numbers","imultinom(size=200)"
"agecomp","survey1",12,12,0,0,231862.034206191,"numbers","imultinom(size=200)"
"agecomp","survey1",1,13,0,0,224829.676836877,"numbers","imultinom(size=200)"
"agecomp","survey1",2,13,0,0,443978.465606631,"numbers","imultinom(size=200)"
"agecomp","survey1",3,13,0,0,638987.435476622,"numbers","imultinom(size=200)"
"agecomp","survey1",4,13,0,0,519176.128016027,"numbers","imultinom(size=200)"
"agecomp","survey1",5,13,0,0,287436.058457729,"numbers","imultinom(size=200)"
"agecomp","survey1",6,13,0,0,301057.600041827,"numbers","imultinom(size=200)"
"agecomp","survey1",7,13,0,0,149706.550641192,"numbers","imultinom(size=200)"
"agecomp","survey1",8,13,0,0,194067.269806193,"numbers","imultinom(size=200)"
"agecomp","survey1",9,13,0,0,167102.092150973,"numbers","imultinom(size=200)"
"agecomp","survey1",10,13,0,0,42863.5750296505,"numbers","imultinom(size=200)"
"agecomp","survey1",11,13,0,0,44422.2268766197,"numbers","imultinom(size=200)"
"agecomp","survey1",12,13,0,0,222736.019350101,"numbers","imultinom(size=200)"
"agecomp","survey1",1,14,0,0,284751.950953724,"numbers","imultinom(size=200)"
"agecomp","survey1",2,14,0,0,484915.06221841,"numbers","imultinom(size=200)"
"agecomp","survey1",3,14,0,0,446808.594664833,"numbers","imultinom(size=200)"
"agecomp","survey1",4,14,0,0,500939.825710999,"numbers","imultinom(size=200)"
"agecomp","survey1",5,14,0,0,385796.77165379,"numbers","imultinom(size=200)"
"agecomp","survey1",6,14,0,0,210751.575086745,"numbers","imultinom(size=200)"
"agecomp","survey1",7,14,0,0,219832.531868898,"numbers","imultinom(size=200)"
"agecomp","survey1",8,14,0,0,109161.884465166,"numbers","imultinom(size=200)"
"agecomp","survey1",9,14,0,0,141437.090153598,"numbers","imultinom(size=200)"
"agecomp","survey1",10,14,0,0,121762.362766877,"numbers","imultinom(size=200)"
"agecomp","survey1",11,14,0,0,31231.3176729837,"numbers","imultinom(size=200)"
"agecomp","survey1",12,14,0,0,194650.917483704,"numbers","imultinom(size=200)"
"agecomp","survey1",1,15,0,0,227374.76497795,"numbers","imultinom(size=200)"
"agecomp","survey1",2,15,0,0,605511.931334392,"numbers","imultinom(size=200)"
"agecomp","survey1",3,15,0,0,475313.707284262,"numbers","imultinom(size=200)"
"agecomp","survey1",4,15,0,0,337039.580442905,"numbers","imultinom(size=200)"
"agecomp","survey1",5,15,0,0,355359.623432729,"numbers","imultinom(size=200)"
"agecomp","survey1",6,15,0,0,269019.553087137,"numbers","imultinom(size=200)"
"agecomp","survey1",7,15,0,0,146128.525590767,"numbers","imultinom(size=200)"
"agecomp","survey1",8,15,0,0,152119.708670734,"numbers","imultinom(size=200)"
"agecomp","survey1",9,15,0,0,75482.9288880973,"numbers","imultinom(size=200)"
"agecomp","survey1",10,15,0,0,97774.4654829626,"numbers","imultinom(size=200)"
"agecomp","survey1",11,15,0,0,84165.239691609,"numbers","imultinom(size=200)"
"agecomp","survey1",12,15,0,0,156128.154878323,"numbers","imultinom(size=200)"
"agecomp","survey1",1,16,0,0,326876.369928116,"numbers","imultinom(size=200)"
"agecomp","survey1",2,16,0,0,482093.7195,"numbers","imultinom(size=200)"
"agecomp","survey1",3,16,0,0,590312.847912037,"numbers","imultinom(size=200)"
"agecomp","survey1",4,16,0,0,355710.138521165,"numbers","imultinom(size=200)"
"agecomp","survey1",5,16,0,0,236817.959884749,"numbers","imultinom(size=200)"
"agecomp","survey1",6,16,0,0,245248.555946459,"numbers","imultinom(size=200)"
"agecomp","survey1",7,16,0,0,184553.578927707,"numbers","imultinom(size=200)"
"agecomp","survey1",8,16,0,0,100034.494585092,"numbers","imultinom(size=200)"
"agecomp","survey1",9,16,0,0,104055.390241523,"numbers","imultinom(size=200)"
"agecomp","survey1",10,16,0,0,51618.4433863309,"numbers","imultinom(size=200)"
"agecomp","survey1",11,16,0,0,66855.3950284148,"numbers","imultinom(size=200)"
"agecomp","survey1",12,16,0,0,164297.998933469,"numbers","imultinom(size=200)"
"agecomp","survey1",1,17,0,0,314353.587549293,"numbers","imultinom(size=200)"
"agecomp","survey1",2,17,0,0,696604.474370577,"numbers","imultinom(size=200)"
"agecomp","survey1",3,17,0,0,474467.265494312,"numbers","imultinom(size=200)"
"agecomp","survey1",4,17,0,0,447935.125018093,"numbers","imultinom(size=200)"
"agecomp","survey1",5,17,0,0,254143.715779057,"numbers","imultinom(size=200)"
